127.0.0.1 - - [24/Jun/2024:11:33:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:33:28 +0530] "GET /CakeShop/Orders HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:33:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:09 +0530] "GET /CakeShop/style.css HTTP/1.1" 200 11244
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/index.html HTTP/1.1" 200 9025
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/cakelogo.png HTTP/1.1" 200 27840
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/classic%20cake.jpg HTTP/1.1" 200 176009
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/cheesecake.jpg HTTP/1.1" 200 165657
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/layercake.webp HTTP/1.1" 200 39056
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/fruitcake.webp HTTP/1.1" 200 189806
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/Gluten-Free-Chocolate-Cake.jpg HTTP/1.1" 200 108693
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/healthiercake.jpg HTTP/1.1" 200 191563
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/egglesscake.jpg HTTP/1.1" 200 280943
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/special.jpg HTTP/1.1" 200 44581
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/style.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2024:11:34:39 +0530] "GET /CakeShop/images/Home/miniature.jpg HTTP/1.1" 200 64199
